id,geo
A/cattle/Texas/24-009108-005/2024,TX
A/cattle/Texas/24-009108-004/2024,TX
A/cattle/Texas/24-009108-003/2024,TX
A/cattle/Texas/24-009108-002/2024,TX
A/cattle/Texas/24-009108-001/2024,TX
A/cattle/Texas/24-009088-002/2024,TX
A/cattle/Texas/24-009088-001/2024,TX
A/cattle/Texas/24-009087-001/2024,TX
A/cattle/Texas/24-009029-001/2024,TX
A/cattle/Texas/24-009028-019/2024,TX
A/cattle/Texas/24-009028-009/2024,TX
A/cattle/Texas/24-009028-008/2024,TX
A/cattle/Texas/24-009028-007/2024,TX
A/cattle/Texas/24-009028-005/2024,TX
A/cattle/Texas/24-009028-003/2024,TX
A/cattle/Texas/24-009028-002/2024,TX
A/cattle/Michigan/24-009027-010/2024,MI
A/cattle/Michigan/24-009027-005/2024,MI
A/cattle/Michigan/24-009027-004/2024,MI
A/cattle/Michigan/24-009027-003/2024,MI
A/Cattle/Michigan/24-009027-002-v/2024,MI
SRR28752472,-
SRR28752475,-
A/Cattle/Kansas/24-008766-001-v/2024,KS
A/cattle/New_Mexico/24-010193-003/2024,NM
A/cattle/New_Mexico/24-010192-006/2024,NM
A/cattle/Michigan/24-010071-010/2024,MI
A/cattle/Michigan/24-010071-009/2024,MI
A/cattle/Michigan/24-010071-008/2024,MI
A/cattle/Michigan/24-010071-007/2024,MI
A/cattle/Michigan/24-010071-006/2024,MI
A/cattle/Michigan/24-010071-005/2024,MI
A/cattle/Michigan/24-010071-003/2024,MI
A/cattle/Texas/24-008749-001/2024,TX
A/cattle/Michigan/24-010071-002/2024,MI
A/cattle/Michigan/24-010071-001/2024,MI
A/cattle/Texas/24-009776-015/2024,TX
A/cattle/Texas/24-009776-004/2024,TX
A/cattle/Texas/24-009776-002/2024,TX
A/cattle/Texas/24-009776-001/2024,TX
A/cattle/Texas/24-009775-001/2024,TX
A/cattle/Ohio/24-009586-010/2024,OH
A/cattle/Texas/24-008660-002/2024,TX
A/cattle/Ohio/24-009586-009/2024,OH
A/cattle/Ohio/24-009586-008/2024,OH
A/cattle/Ohio/24-009586-007/2024,OH
A/cattle/Ohio/24-009586-006/2024,OH
A/cattle/Ohio/24-009586-005/2024,OH
A/cattle/Ohio/24-009586-003/2024,OH
A/cattle/Ohio/24-009586-002/2024,OH
A/cattle/Ohio/24-009586-001/2024,OH
A/cattle/Texas/24-008660-001/2024,TX
A/cattle/Texas/24-009290-001/2024,TX
A/cattle/Texas/24-009110-027/2024,TX
A/cattle/Texas/24-009110-026/2024,TX
A/cattle/Texas/24-009110-025/2024,TX
A/cattle/Texas/24-009110-024/2024,TX
A/cattle/Texas/24-009110-023/2024,TX
A/cattle/Texas/24-009110-022/2024,TX
A/cattle/Texas/24-008749-008/2024,TX
A/cattle/Texas/24-008749-007/2024,TX
SRR28752527,-
A/cattle/Texas/24-010514-002/2024,TX
A/cattle/Texas/24-010513-007/2024,TX
A/cattle/Texas/24-010513-006/2024,TX
A/cattle/Texas/24-010513-004/2024,TX
A/cattle/Texas/24-010513-003/2024,TX
A/cattle/Texas/24-010513-002/2024,TX
A/cattle/New_Mexico/24-010512-001/2024,NM
A/cattle/South_Dakota/24-010354-020/2024,SD
A/cattle/Texas/24-008749-005/2024,TX
A/cattle/South_Dakota/24-010354-019-300/2024,SD
A/cattle/South_Dakota/24-010354-018-300/2024,SD
A/cattle/South_Dakota/24-010354-017-300/2024,SD
A/cattle/South_Dakota/24-010354-016-300/2024,SD
A/cattle/South_Dakota/24-010354-015-300/2024,SD
A/cattle/South_Dakota/24-010354-014-300/2024,SD
A/cattle/South_Dakota/24-010354-013-300/2024,SD
A/cattle/South_Dakota/24-010354-012/2024,SD
A/cattle/South_Dakota/24-010354-011/2024,SD
A/cattle/South_Dakota/24-010354-010-300/2024,SD
A/cattle/South_Dakota/24-010354-009-300/2024,SD
A/cattle/South_Dakota/24-010354-008/2024,SD
A/cattle/South_Dakota/24-010354-006-300/2024,SD
SRR28752554,-
A/cattle/Texas/24-009499-001/2024,TX
A/cattle/Kansas/24-009497-014/2024,KS
A/cattle/Kansas/24-009497-012/2024,KS
A/cattle/Kansas/24-009497-011/2024,KS
A/cattle/Kansas/24-009497-010/2024,KS
A/cattle/Kansas/24-009497-009/2024,KS
A/cattle/Kansas/24-009497-008/2024,KS
A/cattle/Kansas/24-009497-007/2024,KS
A/cattle/Kansas/24-009497-006/2024,KS
A/cattle/Kansas/24-009497-005/2024,KS
A/cattle/Kansas/24-009497-004/2024,KS
A/cattle/Kansas/24-009497-003/2024,KS
A/cattle/Texas/24-009495-012/2024,TX
A/cattle/Texas/24-009495-011/2024,TX
A/cattle/Texas/24-009495-010/2024,TX
A/cattle/Texas/24-009495-009/2024,TX
A/cattle/Texas/24-009495-008/2024,TX
A/cattle/Texas/24-009495-003/2024,TX
A/cattle/Texas/24-009495-002/2024,TX
A/cattle/Texas/24-009495-001/2024,TX
A/cattle/Idaho/24-009491-007/2024,ID
A/cattle/Idaho/24-009491-006/2024,ID
A/cattle/Idaho/24-009491-005/2024,ID
A/cattle/Idaho/24-009491-003/2024,ID
A/cattle/Idaho/24-009491-002/2024,ID
A/cattle/Idaho/24-009491-001/2024,ID
A/cattle/Texas/24-009367-023/2024,TX
A/cattle/Texas/24-009110-021/2024,TX
A/cattle/Texas/24-009110-020/2024,TX
A/cattle/Texas/24-009110-019/2024,TX
A/cattle/Texas/24-009110-018/2024,TX
A/cattle/Texas/24-009110-017/2024,TX
A/cattle/Texas/24-009110-016/2024,TX
A/cattle/Texas/24-009110-015/2024,TX
A/cattle/Texas/24-009110-014/2024,TX
A/cattle/Texas/24-009110-012/2024,TX
A/cattle/Texas/24-009110-011/2024,TX
A/cattle/Texas/24-009110-010/2024,TX
A/Cattle/Texas/24-009110-009-original/2024,TX
A/cattle/Texas/24-009110-008/2024,TX
A/cattle/Texas/24-009110-007/2024,TX
A/cattle/Texas/24-009110-006/2024,TX
A/cattle/Texas/24-009110-005/2024,TX
A/cattle/Texas/24-009110-004/2024,TX
A/cattle/Texas/24-009110-003/2024,TX
A/cattle/Texas/24-009110-002/2024,TX
A/cattle/Texas/24-009110-001/2024,TX
A/cattle/Texas/24-009109-008/2024,TX
A/cattle/Texas/24-009109-007/2024,TX
A/cattle/Texas/24-009109-006/2024,TX
A/cattle/Texas/24-009109-005/2024,TX
A/cattle/Texas/24-009109-004/2024,TX
A/cattle/Texas/24-009109-003/2024,TX
A/cattle/Texas/24-009109-002/2024,TX
A/cattle/Texas/24-009109-001/2024,TX
A/cattle/Texas/24-009108-007/2024,TX
A/cattle/Texas/24-009108-006/2024,TX
A/cattle/South_Dakota/24-010354-005/2024,SD
A/cattle/South_Dakota/24-010354-004-300/2024,SD
A/cattle/South_Dakota/24-010354-003/2024,SD
A/cattle/South_Dakota/24-010354-002/2024,SD
A/cattle/South_Dakota/24-010354-001/2024,SD
A/cattle/Texas/24-010331-001/2024,TX
A/cattle/New_Mexico/24-010330-013-300/2024,NM
A/cattle/TX/24-008749-004-original/2024,TX
A/cattle/New_Mexico/24-010330-012-300/2024,NM
A/cattle/New_Mexico/24-010330-011-300/2024,NM
A/cattle/NM/24-010330-009-original-300/2024,NM
A/cattle/New_Mexico/24-010330-008/2024,NM
A/cattle/New_Mexico/24-010330-007/2024,NM
A/cattle/New_Mexico/24-010330-006-300/2024,NM
A/cattle/New_Mexico/24-010330-005/2024,NM
A/cattle/New_Mexico/24-010330-004-300/2024,NM
A/cattle/New_Mexico/24-010330-003/2024,NM
A/Cattle/New_Mexico/24-010330-002-original-300/2024,NM
A/cattle/TX/24-008749-003-original/2024,TX
A/cattle/North_Carolina/24-010327-003/2024,NC
A/cattle/Michigan/24-010303-002/2024,MI
A/cattle/Michigan/24-010303-001/2024,MI
A/cattle/New_Mexico/24-010195-001/2024,NM
A/cattle/New_Mexico/24-010194-001/2024,NM
A/cattle/New_Mexico/24-010193-007/2024,NM
SRR28752647,-
A/cattle/New_Mexico/24-010193-006/2024,NM
A/cattle/Texas/24-009367-018/2024,TX
A/cattle/Texas/24-009367-016/2024,TX
A/cattle/Texas/24-009367-014/2024,TX
A/cattle/Texas/24-009367-013/2024,TX
A/cattle/Texas/24-009367-012/2024,TX
A/cattle/Texas/24-009367-011/2024,TX
A/cattle/Texas/24-009367-010/2024,TX
A/cattle/Texas/24-009367-009/2024,TX
A/cattle/Texas/24-009367-007/2024,TX
A/cattle/Texas/24-009367-005/2024,TX
A/cattle/Texas/24-009367-004/2024,TX
A/cattle/Texas/24-009367-003/2024,TX
A/cattle/Texas/24-009367-002/2024,TX
A/cattle/Texas/24-009367-001/2024,TX
A/cattle/Texas/24-009310-010/2024,TX
A/cattle/Texas/24-009310-007/2024,TX
A/cattle/Texas/24-009310-006/2024,TX
A/cattle/Texas/24-009310-005/2024,TX
A/cattle/New_Mexico/24-009309-004/2024,NM
A/cattle/New_Mexico/24-009309-002/2024,NM
A/cattle/New_Mexico/24-009309-001/2024,NM
A/cattle/Texas/24-009308-008/2024,TX
A/cattle/Texas/24-009308-006/2024,TX
A/cattle/Texas/24-009308-004/2024,TX
A/cattle/New_Mexico/24-009306-004/2024,NM
A/cattle/New_Mexico/24-009306-003/2024,NM
A/cattle/Texas/24-009290-006/2024,TX
A/cattle/Texas/24-009290-005/2024,TX
A/cattle/New_Mexico/24-010192-003/2024,NM
A/cattle/Texas/24-009495-005/2024,TX
A/cattle/Texas/24-009495-004/2024,TX
A/cattle/Texas/24-009310-009/2024,TX
A/cattle/MI/24-013021-003-original/2024,MI
A/cattle/MI/24-013021-002-original/2024,MI
A/cattle/MI/24-013021-001-original/2024,MI
A/Cattle/Idaho/24-013170-012-original/2024,ID
A/Cattle/Idaho/24-013170-011-original/2024,ID
A/Cattle/Idaho/24-013170-006-original/2024,ID
A/cattle/MI/24-013172-002-original/2024,MI
A/cattle/MI/24-013021-011-original/2024,MI
A/cattle/MI/24-013021-010-original/2024,MI
